name,raw_location,description,year,rank,city,restaurant_key,latitude,longitude
Butter’s BBQ,Mathis,"MathisButter’s BBQCopy linkOpened:2017Pitmaster:Robert Rodriguez, 24; Andrew Soto, 29Method:Post oak and mesquite; offset smokerPro Tip:On Saturdays and Sundays, from 9:30 a.m. until it’s all gone, smoked beef cheeks are served with either corn tortillas or flour tortillas made by Soto’s mom, Frances Guzman.If you’re traveling along I-37 between San Antonio and Corpus Christi, detour to this joint located along Highway 359. You’ll find superbly smoked USDA Prime brisket, flawless pork ribs, and ",2021,,Mathis,butter’s bbq_mathis,28.0944,-97.8281
Butter’s BBQ,Mathis,"Mathis Butter’s BBQ Copy link Opened: 2017 Pitmaster: Robert Rodriguez, 24; Andrew Soto, 29 Method: Post oak and mesquite; offset smoker Pro Tip: On Saturdays and Sundays, from 9:30 a.m. until it’s all gone, smoked beef cheeks are served with either corn tortillas or flour tortillas made by Soto’s mom, Frances Guzman. If you’re traveling along I-37 between San Antonio and Corpus Christi, detour to this joint located along Highway 359. You’ll find superbly smoked USDA Prime brisket, flawless pork",2021,,Mathis,butter’s bbq_mathis,28.0944,-97.8281
Rejino Barbeque,Olton,"OltonRejino BarbequeCopy linkOpened:2017Pitmaster:Aaron Rejino, 32Method:Oak; offset smokerPro Tip:Preorder your ’cue online (before 9 a.m. the day of) so your trip to Olton doesn’t end in heartbreak.Aaron and Christina Rejino are serving quality smoked meats and novel side dishes worthy of the short road trip from Lubbock—or the longer road trip if you’re coming from pretty much anyplace else. By the time we pulled up to their truck on a particularly idyllic Saturday, the Rejinos were just abou",2021,,Olton,rejino barbeque_olton,34.1834,-102.1332
Rejino Barbeque,Olton,"Olton Rejino Barbeque Copy link Opened: 2017 Pitmaster: Aaron Rejino, 32 Method: Oak; offset smoker Pro Tip: Preorder your ’cue online (before 9 a.m. the day of) so your trip to Olton doesn’t end in heartbreak. Aaron and Christina Rejino are serving quality smoked meats and novel side dishes worthy of the short road trip from Lubbock—or the longer road trip if you’re coming from pretty much anyplace else. By the time we pulled up to their truck on a particularly idyllic Saturday, the Rejinos wer",2021,,Olton,rejino barbeque_olton,34.1834,-102.1332
Killen’s Barbecue,Pearland,"PearlandKillen’s BarbecueCopy linkOpened:2013Pitmaster:Margarito Pineda, 54; Manny Torres, 48Method:Post oak, hickory, and pecan; wood-fired rotisserie smokerPro Tip:Bring friends to help sample every dessert on the menu.Top-notch brisket isn’t the only thing drawing hungry masses to Killen’s. Barbecue evangelists flock here for the succulent beef ribs and well-seasoned pork ribs, smoked turkey rubbed with generous handfuls of pepper, and crackly fried chicken (Sundays only). Others swear by the",2021,,Pearland,killen’s barbecue_pearland,29.5636,-95.2861
Killen’s Barbecue,Pearland,"Pearland Killen’s Barbecue Copy link Opened: 2013 Pitmaster: Margarito Pineda, 54; Manny Torres, 48 Method: Post oak, hickory, and pecan; wood-fired rotisserie smoker Pro Tip: Bring friends to help sample every dessert on the menu. Top-notch brisket isn’t the only thing drawing hungry masses to Killen’s. Barbecue evangelists flock here for the succulent beef ribs and well-seasoned pork ribs, smoked turkey rubbed with generous handfuls of pepper, and crackly fried chicken (Sundays only). Others s",2021,,Pearland,killen’s barbecue_pearland,29.5636,-95.2861
Brotherton’s Black Iron Barbecue,Pflugerville,"PflugervilleBrotherton’s Black Iron BarbecueCopy linkOpened:2017Pitmaster:Dominic Colbert, 36; Bill Dumas, 53; Charles Ferrell, 32; Bobby Holley, 25; Jason Tedford, 41Method:Oak; offset smoker and direct-heat pitPro Tip:If you really like spice, take home one of Brotherton’s bottled sauces.Owner John Brotherton, a dedicated barbecue aficionado turned pro, has visited all the joints on our past two Top 50 lists. So, he knows what it takes to build an impressive barbecue operation. He began with s",2021,,Pflugerville,brotherton’s black iron barbecue_pflugerville,30.4394,-97.62
Brotherton’s Black Iron Barbecue,Pflugerville,"Pflugerville Brotherton’s Black Iron Barbecue Copy link Opened: 2017 Pitmaster: Dominic Colbert, 36; Bill Dumas, 53; Charles Ferrell, 32; Bobby Holley, 25; Jason Tedford, 41 Method: Oak; offset smoker and direct-heat pit Pro Tip: If you really like spice, take home one of Brotherton’s bottled sauces. Owner John Brotherton, a dedicated barbecue aficionado turned pro, has visited all the joints on our past two Top 50 lists. So, he knows what it takes to build an impressive barbecue operation. He b",2021,,Pflugerville,brotherton’s black iron barbecue_pflugerville,30.4394,-97.62
LaVaca BBQ,Port Lavaca,"Port LavacaLaVaca BBQCopy linkOpened:2019Pitmaster:Kelli Nevarez, 29Method:Post oak; offset smokerPro Tip:Don’t be alarmed: the creamed corn is green because pureed fresh jalapeños are added to it.When Lupe and Christine Nevarez and their children opened this place two years ago, their daughter Kelli was a teacher who helped out part-time. Today she’s the full-time pitmaster, cranking out tender brisket, excellent house-made sausage, and massive pork spareribs covered in a house-made glaze that ",2021,,Port Lavaca,lavaca bbq_port lavaca,28.615,-96.63
LaVaca BBQ,Port Lavaca,"Port Lavaca LaVaca BBQ Copy link Opened: 2019 Pitmaster: Kelli Nevarez, 29 Method: Post oak; offset smoker Pro Tip: Don’t be alarmed: the creamed corn is green because pureed fresh jalapeños are added to it. When Lupe and Christine Nevarez and their children opened this place two years ago, their daughter Kelli was a teacher who helped out part-time. Today she’s the full-time pitmaster, cranking out tender brisket, excellent house-made sausage, and massive pork spareribs covered in a house-made ",2021,,Port Lavaca,lavaca bbq_port lavaca,28.615,-96.63
Brett’s Backyard Bar-B-Que,Rockdale,"RockdaleBrett’s Backyard Bar-B-QueCopy linkOpened:2018Pitmaster:Brett Boren, 39; Braden Wallis, 22Method:Oak; offset smoker and direct-heat pitPro Tip:Don’t miss the Nutter Butter banana pudding and strawberry cobbler.The offerings are piled high at Brett’s, which serves some of the most indulgent craft barbecue in Central Texas. From an extensive menu—baby back ribs, pork spareribs, chicken, brisket, pulled pork, four kinds of sausages, sandwiches, nine sides, dessert—a single plate can arrive ",2021,,Rockdale,brett’s backyard bar-b-que_rockdale,30.6546,-97.0005
Brett’s Backyard Bar-B-Que,Rockdale,"Rockdale Brett’s Backyard Bar-B-Que Copy link Opened: 2018 Pitmaster: Brett Boren, 39; Braden Wallis, 22 Method: Oak; offset smoker and direct-heat pit Pro Tip: Don’t miss the Nutter Butter banana pudding and strawberry cobbler. The offerings are piled high at Brett’s, which serves some of the most indulgent craft barbecue in Central Texas. From an extensive menu—baby back ribs, pork spareribs, chicken, brisket, pulled pork, four kinds of sausages, sandwiches, nine sides, dessert—a single plate ",2021,,Rockdale,brett’s backyard bar-b-que_rockdale,30.6546,-97.0005
Pinkerton’s Barbecue,San Antonio,"San AntonioPinkerton’s BarbecueCopy linkOpened:2021Pitmaster:Grant Pinkerton, 32Method:Mesquite and post oak; offset smokerPro Tip:Order a serving of the duck-and-sausage jambalaya and a link of boudin for a little Louisiana flavor.Pinkerton’s feast for the senses begins as you approach the massive farmhouse-style building that’s home to the San Antonio satellite of Grant Pinkerton’s original Houston joint. You smell the smoke first, of course, and then you see pile upon pile of neatly stacked w",2021,,San Antonio,pinkerton’s barbecue_san antonio,29.4252,-98.4946
Pinkerton’s Barbecue,San Antonio,"San Antonio Pinkerton’s Barbecue Copy link Opened: 2021 Pitmaster: Grant Pinkerton, 32 Method: Mesquite and post oak; offset smoker Pro Tip: Order a serving of the duck-and-sausage jambalaya and a link of boudin for a little Louisiana flavor. Pinkerton’s feast for the senses begins as you approach the massive farmhouse-style building that’s home to the San Antonio satellite of Grant Pinkerton’s original Houston joint. You smell the smoke first, of course, and then you see pile upon pile of neatl",2021,,San Antonio,pinkerton’s barbecue_san antonio,29.4252,-98.4946
Hays Co. Bar-B-Que & Catering,San Marcos,"San MarcosHays Co. Bar-B-Que & CateringCopy linkOpened:2007Pitmaster:Michael Hernandez, 47; Michael Aaron Hernandez, 28; Jessie Miranda, 47Method:Post oak; offset smokerPro Tip:Save some room for the juicy pork chop and the green-chile mac.A lot has changed since this stalwart joint made our 2017 list. The old trailer has been replaced by a large building, a shiplap-and-corrugated-metal affair with tons of natural light. What hasn’t changed is the brisket, which, with its understated bark adding",2021,,San Marcos,hays co. bar-b-que & catering_san marcos,29.8833,-97.9414
Hays Co. Bar-B-Que & Catering,San Marcos,"San Marcos Hays Co. Bar-B-Que & Catering Copy link Opened: 2007 Pitmaster: Michael Hernandez, 47; Michael Aaron Hernandez, 28; Jessie Miranda, 47 Method: Post oak; offset smoker Pro Tip: Save some room for the juicy pork chop and the green-chile mac. A lot has changed since this stalwart joint made our 2017 list. The old trailer has been replaced by a large building, a shiplap-and-corrugated-metal affair with tons of natural light. What hasn’t changed is the brisket, which, with its understated ",2021,,San Marcos,hays co. bar-b-que & catering_san marcos,29.8833,-97.9414
CorkScrew BBQ,Spring,"SpringCorkScrew BBQCopy linkOpened:2011Pitmaster:Will Buckman, 42Method:Red oak; wood-fired rotisserie smokerPro Tip:Try the TRIS-ket Sandwich, which features sliced brisket topped with Caesar salad.License plates cover the counters at CorkScrew, and on weekends the parking lot is filled with a similar array of plates, symbols of the journeys that barbecue fanatics make to try husband-and-wife duo Will and Nichole Buckman’s fare. You could eat through the entire menu, but you’d be as happy with ",2021,,Spring,corkscrew bbq_spring,30.0799,-95.4171
CorkScrew BBQ,Spring,"Spring CorkScrew BBQ Copy link Opened: 2011 Pitmaster: Will Buckman, 42 Method: Red oak; wood-fired rotisserie smoker Pro Tip: Try the TRIS-ket Sandwich, which features sliced brisket topped with Caesar salad. License plates cover the counters at CorkScrew, and on weekends the parking lot is filled with a similar array of plates, symbols of the journeys that barbecue fanatics make to try husband-and-wife duo Will and Nichole Buckman’s fare. You could eat through the entire menu, but you’d be as ",2021,,Spring,corkscrew bbq_spring,30.0799,-95.4171
Tejas Chocolate + Barbecue,Tomball,"TomballTejas Chocolate + BarbecueCopy linkOpened:2015Pitmaster:Greg Moore, 55; Scott Moore Jr., 57Method:Post oak; offset smokerPro Tip:Take a Dark Matter chocolate bar for the road: 70 percent dark chocolate, with black-lava sea salt and pepper.At Tejas Chocolate + Barbecue, employees might well tell you, “We’ve been crushing it since 2011, smoking it since 2015.” That’s because brothers Greg and Scott Moore’s operation, cofounded with Michelle Holland, originally sold only bean-to-bar chocolat",2021,,Tomball,tejas chocolate + barbecue_tomball,30.0974,-95.6163
Tejas Chocolate + Barbecue,Tomball,"Tomball Tejas Chocolate + Barbecue Copy link Opened: 2015 Pitmaster: Greg Moore, 55; Scott Moore Jr., 57 Method: Post oak; offset smoker Pro Tip: Take a Dark Matter chocolate bar for the road: 70 percent dark chocolate, with black-lava sea salt and pepper. At Tejas Chocolate + Barbecue, employees might well tell you, “We’ve been crushing it since 2011, smoking it since 2015.” That’s because brothers Greg and Scott Moore’s operation, cofounded with Michelle Holland, originally sold only bean-to-b",2021,,Tomball,tejas chocolate + barbecue_tomball,30.0974,-95.6163
Stanley’s Famous Pit Barbecue,Tyler,"TylerStanley’s Famous Pit BarbecueCopy linkOpened:1960Pitmaster:Spencer Carl, 34; Nick Pencis, 44Method:Pecan and post oak; offset and wood-fired rotisserie smokersPro Tip:Head to the bar and savor a variety of whiskey flights, featuring ryes and bourbons that range from the budget stuff to high-dollar pours.The tagline stenciled on nearly every surface at Stanley’s is “Be Kind, Have Fun,” a somewhat incongruous entreaty in this traditionally rough-and-tumble East Texas railroad town. But Stanle",2021,,Tyler,stanley’s famous pit barbecue_tyler,32.3513,-95.3011
Stanley’s Famous Pit Barbecue,Tyler,"Tyler Stanley’s Famous Pit Barbecue Copy link Opened: 1960 Pitmaster: Spencer Carl, 34; Nick Pencis, 44 Method: Pecan and post oak; offset and wood-fired rotisserie smokers Pro Tip: Head to the bar and savor a variety of whiskey flights, featuring ryes and bourbons that range from the budget stuff to high-dollar pours. The tagline stenciled on nearly every surface at Stanley’s is “Be Kind, Have Fun,” a somewhat incongruous entreaty in this traditionally rough-and-tumble East Texas railroad town.",2021,,Tyler,stanley’s famous pit barbecue_tyler,32.3513,-95.3011
Guess Family Barbecue,Waco,"WacoGuess Family BarbecueCopy linkOpened:2017Pitmaster:Kyle Arwine, 45; Reid Guess, 39; Chuy Ortiz, 28Method:Post oak; offset smokerPro Tip:Wednesdays bring Tex-Mex, Thursdays chicken-fried steak, Fridays baby back ribs and pork spareribs, and Saturdays steak.Reid Guess touts his old-school barbecue for good reason—the simply seasoned spareribs are hulking and tender, and the brisket is dazzlingly juicy. But you’d be missing out if you didn’t also stray from the classics. Guess, a former pitmast",2021,,Waco,guess family barbecue_waco,31.5493,-97.1467
Guess Family Barbecue,Waco,"Waco Guess Family Barbecue Copy link Opened: 2017 Pitmaster: Kyle Arwine, 45; Reid Guess, 39; Chuy Ortiz, 28 Method: Post oak; offset smoker Pro Tip: Wednesdays bring Tex-Mex, Thursdays chicken-fried steak, Fridays baby back ribs and pork spareribs, and Saturdays steak. Reid Guess touts his old-school barbecue for good reason—the simply seasoned spareribs are hulking and tender, and the brisket is dazzlingly juicy. But you’d be missing out if you didn’t also stray from the classics. Guess, a for",2021,,Waco,guess family barbecue_waco,31.5493,-97.1467
Teddy’s Barbecue,Weslaco,"WeslacoTeddy’s BarbecueCopy linkOpened:2019Pitmaster:Jesse Garcia, 23; Joel Garcia, 30; Paul Rios, 36Method:Post oak; offset smokerPro Tip:The Garcias’ mom, Ana, makes homemade flour tortillas (two for a dollar) using the beef fat rendered inside the smokers. They sell out quick, so show up early.The brothers Garcia are Rio Grande Valley natives, but Joel received his barbecue education in Austin at Freedmen’s and Terry Black’s. Jesse, a culinary school grad, also worked at Freedmen’s and later ",2021,,Weslaco,teddy’s barbecue_weslaco,26.1595,-97.9908
Teddy’s Barbecue,Weslaco,"Weslaco Teddy’s Barbecue Copy link Opened: 2019 Pitmaster: Jesse Garcia, 23; Joel Garcia, 30; Paul Rios, 36 Method: Post oak; offset smoker Pro Tip: The Garcias’ mom, Ana, makes homemade flour tortillas (two for a dollar) using the beef fat rendered inside the smokers. They sell out quick, so show up early. The brothers Garcia are Rio Grande Valley natives, but Joel received his barbecue education in Austin at Freedmen’s and Terry Black’s. Jesse, a culinary school grad, also worked at Freedmen’s",2021,,Weslaco,teddy’s barbecue_weslaco,26.1595,-97.9908
Helberg Barbecue,Woodway,"WoodwayHelberg BarbecueCopy linkOpened:2018Pitmaster:Candace Daniels, 29; David Ferlet, 48; Phillip Helberg, 27; Josh Soliman, 29Method:Post oak; offset smokerPro Tip:Helberg offers daily specials such as a whole rack of ribs and the popular “bacon wings” (pork belly burnt ends that are flash-fried and sauced to order).Strike up a conversation about great barbecue in Waco, and chances are you’ll have more than one local pointing you to Phillip and Yvette Helberg’s joint in Woodway, just northwes",2021,,Woodway,helberg barbecue_woodway,31.5026,-97.1711
Helberg Barbecue,Woodway,"Woodway Helberg Barbecue Copy link Opened: 2018 Pitmaster: Candace Daniels, 29; David Ferlet, 48; Phillip Helberg, 27; Josh Soliman, 29 Method: Post oak; offset smoker Pro Tip: Helberg offers daily specials such as a whole rack of ribs and the popular “bacon wings” (pork belly burnt ends that are flash-fried and sauced to order). Strike up a conversation about great barbecue in Waco, and chances are you’ll have more than one local pointing you to Phillip and Yvette Helberg’s joint in Woodway, ju",2021,,Woodway,helberg barbecue_woodway,31.5026,-97.1711
